Date;Age;Sex;Deaths
2007-01-25;30-39;Male;1
2007-01-25;40-49;Female;2
2007-01-25;40-49;Male;3
2007-01-25;50-59;Female;3
2007-01-25;50-59;Male;5
2007-01-25;60-69;Female;7
2007-01-25;60-69;Male;17
2007-01-25;70-79;Female;17
2007-01-25;70-79;Male;17
2007-01-25;80-89;Female;30
2007-01-25;80-89;Male;26
2007-01-25;90+;Female;21
2007-01-25;90+;Male;4
2007-01-26;0-9;Female;0
2007-01-26;0-9;Male;0
2007-01-26;10-19;Female;1
2007-01-26;10-19;Male;0
2007-01-26;20-29;Female;0
2007-01-26;20-29;Male;0
2007-01-26;30-39;Female;1
2007-01-26;30-39;Male;2
2007-01-26;40-49;Female;4
2007-01-26;40-49;Male;2
2007-01-26;50-59;Female;3
2007-01-26;50-59;Male;8
2007-01-26;60-69;Female;18
2007-01-26;60-69;Male;18
2007-01-26;70-79;Female;14
2007-01-26;70-79;Male;19
2007-01-26;80-89;Female;36
2007-01-26;80-89;Male;16
2007-01-26;90+;Female;17
2007-01-26;90+;Male;7
2007-01-27;0-9;Female;0
2007-01-27;0-9;Male;0
2007-01-27;10-19;Female;0
2007-01-27;10-19;Male;0
2007-01-27;20-29;Female;0
2007-01-27;20-29;Male;0
2007-01-27;30-39;Female;0
2007-01-27;30-39;Male;0
2007-01-27;40-49;Female;1
2007-01-27;40-49;Male;0
2007-01-27;50-59;Female;7
2007-01-27;50-59;Male;6
2007-01-27;60-69;Female;7
2007-01-27;60-69;Male;10
2007-01-27;70-79;Female;18
2007-01-27;70-79;Male;15
2007-01-27;80-89;Female;33
2007-01-27;80-89;Male;15
2007-01-27;90+;Female;17
2007-01-27;90+;Male;7
2007-01-28;0-9;Female;0
2007-01-28;0-9;Male;1
2007-01-28;10-19;Female;0
2007-01-28;10-19;Male;0
2007-01-28;20-29;Female;1
2007-01-28;20-29;Male;0
2007-01-28;30-39;Female;0
2007-01-28;30-39;Male;0
2007-01-28;40-49;Female;3
2007-01-28;40-49;Male;2
2007-01-28;50-59;Female;2
2007-01-28;50-59;Male;6
2007-01-28;60-69;Female;6
2007-01-28;60-69;Male;21
2007-01-28;70-79;Female;19
2007-01-28;70-79;Male;19
2007-01-28;80-89;Female;24
2007-01-28;80-89;Male;24
2007-01-28;90+;Female;22
2007-01-28;90+;Male;4
2007-01-29;0-9;Female;1
2007-01-29;0-9;Male;0
2007-01-29;10-19;Female;0
2007-01-29;10-19;Male;0
2007-01-29;20-29;Female;0
2007-01-29;20-29;Male;0
2007-01-29;30-39;Female;0
2007-01-29;30-39;Male;2
2007-01-29;40-49;Female;1
2007-01-29;40-49;Male;7
2007-01-29;50-59;Female;4
2007-01-29;50-59;Male;13
2007-01-29;60-69;Female;7
2007-01-29;60-69;Male;6
2007-01-29;70-79;Female;14
2007-01-29;70-79;Male;17
2007-01-29;80-89;Female;30
2007-01-29;80-89;Male;24
2007-01-29;90+;Female;15
2007-01-29;90+;Male;5
2007-01-30;0-9;Female;0
2007-01-30;0-9;Male;2
2007-01-30;10-19;Female;0
2007-01-30;10-19;Male;0
2007-01-30;20-29;Female;0
